id,time,position_x,position_y
2,1,401,313
2,2,437,299
2,3,416,293
2,4,419,312
2,5,430,329
2,6,418,323
2,7,417,315
2,8,438,315
2,9,434,309
2,10,450,368
2,11,592,564
2,12,571,574
2,13,554,575
2,14,605,584
2,15,603,570
2,16,577,564
2,17,628,447
2,18,635,393
2,19,629,392
2,20,650,400
2,21,651,405
2,22,633,405
2,23,625,402
2,24,620,393
2,25,636,386
2,26,642,393
2,27,629,391
2,28,643,383
2,29,656,385
2,30,659,399
2,31,662,420
2,32,630,399
2,33,1092,413
2,34,1121,361
2,35,1131,356
2,36,1133,365
2,37,1136,380
2,38,1098,392
2,39,1087,397
2,40,1015,606
2,41,982,631
2,42,964,628
2,43,545,677
2,44,346,361
2,45,296,277
2,46,155,305
2,47,77,268
